Id,Game Name,Release Year,Genre,Publisher,Critic Points,Critic Amount,User Points,User Amount,Developer,Rating,Opinion
0,Grand Theft Auto V,2013.0,Action,Take-Two Interactive,97.0,50.0,8.2,3994.0,Rockstar North,M,P
1,Grand Theft Auto: San Andreas,2004.0,Action,Take-Two Interactive,95.0,80.0,9.0,1588.0,Rockstar North,M,P
2,Grand Theft Auto: Vice City,2002.0,Action,Take-Two Interactive,95.0,62.0,8.7,730.0,Rockstar North,M,P
3,Call of Duty: Modern Warfare 3,2011.0,Shooter,Activision,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,N
4,Call of Duty: Black Ops,2010.0,Shooter,Activision,87.0,89.0,6.3,1454.0,Treyarch,M,N
5,Call of Duty: Black Ops II,2012.0,Shooter,Activision,83.0,21.0,5.3,922.0,Treyarch,M,N
6,Call of Duty: Modern Warfare 2,2009.0,Shooter,Activision,94.0,100.0,6.3,2698.0,Infinity Ward,M,N
7,Grand Theft Auto III,2001.0,Action,Take-Two Interactive,97.0,56.0,8.5,664.0,DMA Design,M,P
8,Grand Theft Auto IV,2008.0,Action,Take-Two Interactive,98.0,86.0,7.9,2951.0,Rockstar North,M,P
9,Call of Duty: Modern Warfare 2,2009.0,Shooter,Activision,94.0,67.0,6.3,2073.0,Infinity Ward,M,N
10,Call of Duty: Ghosts,2013.0,Shooter,Activision,73.0,29.0,2.6,2117.0,Infinity Ward,M,N
11,Call of Duty 4: Modern Warfare,2007.0,Shooter,Activision,94.0,70.0,8.4,1320.0,Infinity Ward,M,P
12,The Elder Scrolls V: Skyrim,2011.0,Role-Playing,Bethesda Softworks,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,P
13,FIFA 16,2015.0,Sports,Electronic Arts,82.0,42.0,4.3,896.0,EA Sports,E,N
14,FIFA Soccer 13,2012.0,Action,Electronic Arts,88.0,37.0,6.6,348.0,Electronic Arts,E,N
15,The Sims 3,2009.0,Simulation,Electronic Arts,86.0,75.0,7.6,886.0,The Sims Studio,T,P
16,Grand Theft Auto: Liberty City Stories,2005.0,Action,Take-Two Interactive,88.0,65.0,7.6,451.0,Rockstar Leeds,M,P
17,Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,83.0,39.0,5.7,1443.0,Sledgehammer Games,M,N
18,FIFA 17,2016.0,Sports,Electronic Arts,85.0,41.0,5.0,398.0,"EA Sports, EA Vancouver",E,N
19,Call of Duty: World at War,2008.0,Shooter,Activision,84.0,84.0,7.6,580.0,Treyarch,M,P
20,Battlefield 3,2011.0,Shooter,Electronic Arts,84.0,57.0,7.4,2142.0,EA DICE,M,N
21,Need for Speed Underground,2003.0,Racing,Electronic Arts,85.0,33.0,8.6,171.0,EA Black Box,E,P
22,Fallout 4,2015.0,Role-Playing,Bethesda Softworks,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M,N
23,Need for Speed Underground 2,2004.0,Racing,Electronic Arts,82.0,39.0,8.6,132.0,EA Canada,E,P
24,Medal of Honor: Frontline,2002.0,Shooter,Electronic Arts,88.0,29.0,8.5,135.0,EA LA,T,P
25,FIFA 14,2013.0,Sports,Electronic Arts,86.0,37.0,4.3,576.0,EA Canada,E,N
26,Assassin's Creed III,2012.0,Action,Ubisoft,85.0,41.0,6.9,1307.0,Ubisoft,M,N
27,World of Warcraft,2004.0,Role-Playing,Activision,93.0,57.0,7.3,2182.0,Blizzard Entertainment,T,N
28,FIFA 15,2014.0,Sports,Electronic Arts,82.0,47.0,5.7,988.0,EA Sports,E,N
29,Metal Gear Solid 2: Sons of Liberty,2001.0,Action,Konami Digital Entertainment,96.0,42.0,8.7,1026.0,KCEJ,M,P
30,Metal Gear Solid,1998.0,Action,Konami Digital Entertainment,94.0,20.0,9.4,918.0,KCEJ,M,P
31,Metal Gear Solid 4: Guns of the Patriots,2008.0,Action,Konami Digital Entertainment,94.0,82.0,8.7,3558.0,Kojima Productions,M,P
32,Resident Evil 2,1998.0,Action,Virgin Interactive,89.0,13.0,9.2,364.0,Capcom,M,P
33,LEGO Star Wars: The Complete Saga,2007.0,Action,LucasArts,80.0,17.0,8.9,62.0,Traveller's Tales,E10+,P
34,Assassin's Creed II,2009.0,Action,Ubisoft,91.0,70.0,8.6,1202.0,Ubisoft Montreal,M,P
35,Assassin's Creed,2007.0,Adventure,Ubisoft,81.0,77.0,7.7,1074.0,Ubisoft Montreal,M,P
36,Batman: Arkham City,2011.0,Action,Warner Bros. Interactive Entertainment,96.0,42.0,8.6,2162.0,Rocksteady Studios,T,P
37,Final Fantasy XIII,2009.0,Role-Playing,Square Enix,83.0,83.0,7.3,2483.0,Square Enix,T,N
38,Final Fantasy IX,2000.0,Role-Playing,SquareSoft,94.0,22.0,8.9,779.0,SquareSoft,T,P
39,Final Fantasy X-2,2003.0,Role-Playing,Electronic Arts,85.0,45.0,6.6,400.0,SquareSoft,T,N
40,Dragon Quest VIII: Journey of the Cursed King,2004.0,Role-Playing,Square Enix,89.0,63.0,8.8,245.0,Level 5,T,P
41,Diablo III,2012.0,Role-Playing,Activision,88.0,86.0,4.0,9629.0,Blizzard Entertainment,M,N
42,Medal of Honor: Rising Sun,2003.0,Shooter,Electronic Arts,68.0,30.0,7.6,100.0,EA LA,T,P
43,Fable III,2010.0,Role-Playing,Microsoft Game Studios,80.0,88.0,6.5,604.0,Lionhead Studios,M,N
44,Resident Evil 5,2009.0,Action,Capcom,84.0,76.0,7.5,667.0,Capcom,M,P
45,FIFA Soccer 11,2010.0,Sports,Electronic Arts,89.0,51.0,8.0,233.0,EA Sports,E,P
46,Resident Evil,1996.0,Action,Virgin Interactive,91.0,8.0,9.0,266.0,Capcom,M,P
47,Tony Hawk's Pro Skater,1999.0,Sports,Activision,92.0,18.0,9.2,69.0,Neversoft Entertainment,T,P
48,Fallout 3,2008.0,Role-Playing,Bethesda Softworks,93.0,84.0,8.5,1655.0,Bethesda Game Studios,M,P
49,StarCraft II: Wings of Liberty,2010.0,Strategy,Activision,93.0,82.0,8.2,3052.0,Blizzard Entertainment,T,P
50,Crash Team Racing,1999.0,Racing,Sony Computer Entertainment,88.0,20.0,9.0,233.0,Naughty Dog,E,P
51,The Lord of the Rings: The Two Towers,2002.0,Action,Electronic Arts,82.0,32.0,8.2,78.0,Stormfront Studios,T,P
52,Tomb Raider,1996.0,Action,Eidos Interactive,91.0,13.0,8.6,147.0,Core Design Ltd.,T,P
53,Madden NFL 07,2006.0,Sports,Electronic Arts,84.0,29.0,8.2,39.0,EA Sports,E,P
54,Spider-Man: The Movie,2002.0,Action,Activision,76.0,25.0,7.9,41.0,Treyarch,E,P
55,Call of Duty: Infinite Warfare,2016.0,Shooter,Activision,77.0,82.0,3.4,1129.0,Infinity Ward,M,N
56,Tony Hawk's Pro Skater 3,2001.0,Sports,Activision,97.0,34.0,7.5,298.0,Neversoft Entertainment,T,N
57,The Elder Scrolls IV: Oblivion,2006.0,Role-Playing,Take-Two Interactive,94.0,90.0,8.7,1109.0,Bethesda Softworks,M,P
58,Need for Speed: Most Wanted,2005.0,Racing,Electronic Arts,82.0,36.0,9.1,137.0,EA Canada,T,P
59,Resistance: Fall of Man,2006.0,Shooter,Sony Computer Entertainment,86.0,70.0,8.1,715.0,Insomniac Games,M,P
60,Kingdom Hearts II,2005.0,Role-Playing,Square Enix,87.0,64.0,9.0,766.0,Square Enix,E10+,P
61,Fable II,2008.0,Role-Playing,Microsoft Game Studios,89.0,95.0,6.5,2423.0,Lionhead Studios,M,N
62,Batman: Arkham Asylum,2009.0,Action,Eidos Interactive,91.0,70.0,8.9,1122.0,Rocksteady Studios,T,P
63,Metal Gear Solid 3: Snake Eater,2004.0,Action,Konami Digital Entertainment,91.0,68.0,9.3,955.0,KCEJ,M,P
64,Assassin's Creed: Revelations,2011.0,Action,Ubisoft,80.0,39.0,7.5,613.0,Ubisoft Montreal,M,P
65,FIFA 14,2013.0,Sports,Electronic Arts,84.0,41.0,4.2,435.0,EA Canada,E,N
66,Street Fighter IV,2009.0,Fighting,Capcom,94.0,61.0,7.3,330.0,Capcom,T,N
67,Madden NFL 2003,2002.0,Sports,Electronic Arts,95.0,25.0,7.7,65.0,EA Sports,E,P
68,Half-Life,1997.0,Shooter,Vivendi Games,96.0,24.0,9.1,3161.0,Valve Software,M,P
69,World of Warcraft: The Burning Crusade,2007.0,Role-Playing,Activision,91.0,46.0,7.9,785.0,Blizzard Entertainment,T,P
70,Battlefield 1,2016.0,Shooter,Electronic Arts,88.0,31.0,8.4,809.0,EA DICE,M,P
71,Fallout: New Vegas,2010.0,Role-Playing,Bethesda Softworks,84.0,81.0,8.1,769.0,Obsidian Entertainment,M,P
72,Watch Dogs,2014.0,Action,Ubisoft,80.0,80.0,6.3,2996.0,Ubisoft Montreal,M,N
73,Far Cry 4,2014.0,Shooter,Ubisoft,85.0,83.0,7.7,1653.0,Ubisoft Montreal,M,N
74,Left 4 Dead 2,2009.0,Shooter,Electronic Arts,89.0,76.0,8.6,681.0,Valve Software,M,P
75,The Witcher 3: Wild Hunt,2015.0,Role-Playing,Namco Bandai Games,92.0,79.0,9.2,10179.0,CD Projekt Red Studio,M,P
76,Assassin's Creed: Unity,2014.0,Action,Ubisoft,70.0,40.0,4.9,2050.0,"Ubisoft, Ubisoft Montreal",M,N
77,Batman: Arkham Knight,2015.0,Action,Warner Bros. Interactive Entertainment,87.0,89.0,7.6,2679.0,Rocksteady Studios,M,N
78,Assassin's Creed IV: Black Flag,2013.0,Action,Ubisoft,88.0,36.0,8.1,840.0,Ubisoft,M,P
79,Resident Evil 5,2009.0,Action,Capcom,83.0,91.0,7.5,523.0,Capcom,M,N
80,Assassin's Creed: Brotherhood,2010.0,Action,Ubisoft,89.0,81.0,8.3,693.0,Ubisoft Montreal,M,P
81,Medal of Honor,2010.0,Shooter,Electronic Arts,74.0,71.0,6.7,288.0,"Dice, Danger Close",M,N
82,Harry Potter and the Chamber of Secrets,2002.0,Action,Electronic Arts,71.0,16.0,7.6,49.0,Electronic Arts,E,N
83,God of War Collection,2009.0,Action,Sony Computer Entertainment,91.0,50.0,8.7,529.0,Bluepoint Games,M,P
84,NBA Live 2005,2004.0,Sports,Electronic Arts,84.0,21.0,8.1,44.0,EA Canada,E,P
85,Mario Strikers Charged,2007.0,Sports,Nintendo,79.0,47.0,8.0,124.0,Next Level Games,E10+,P
86,FIFA Soccer 09,2008.0,Sports,Electronic Arts,87.0,42.0,7.5,108.0,EA Canada,E,N
87,Style Savvy,2008.0,Simulation,Nintendo,73.0,4.0,7.7,7.0,syn Sophia,E,P
88,WWE SmackDown vs. RAW 2007,2006.0,Fighting,THQ,80.0,27.0,8.6,57.0,Yuke's,T,P
89,LEGO Star Wars: The Complete Saga,2007.0,Action,LucasArts,80.0,24.0,7.4,114.0,Traveller's Tales,E10+,P
90,Madden NFL 08,2007.0,Sports,Electronic Arts,78.0,11.0,7.8,17.0,EA Tiburon,E,P
91,Monster Hunter Freedom 2,2007.0,Role-Playing,Capcom,72.0,38.0,8.7,83.0,Capcom,T,P
92,Sonic Adventure 2 Battle,2001.0,Platform,Sega,73.0,28.0,8.3,179,Sonic Team,E,P
93,Madden NFL 13,2012.0,Sports,Electronic Arts,83.0,22.0,5.5,101.0,EA Tiburon,E,N
94,Dragon Age: Origins,2009.0,Role-Playing,Electronic Arts,86.0,68.0,7.9,725.0,BioWare,M,P
95,Madden NFL 25,2013.0,Sports,Electronic Arts,80.0,32.0,5.6,136.0,EA Sports,E,N
96,Borderlands 2,2012.0,Shooter,Take-Two Interactive,91.0,25.0,8.2,858.0,Gearbox Software,M,P
97,Prince of Persia: The Sands of Time,2003.0,Action,Ubisoft,92.0,44.0,8.8,204.0,Ubisoft,T,P
98,Monster Hunter Tri,2009.0,Role-Playing,Nintendo,84.0,70.0,8.6,219.0,Capcom,T,P
99,Star Wars: The Force Unleashed,2008.0,Action,LucasArts,71.0,47.0,6.6,233.0,LucasArts,T,N
100,BioShock 2,2010.0,Shooter,Take-Two Interactive,88.0,93.0,8.2,573..0,2K Marin,M,P
